1,一起走，我們不會孤單。 失望，但請不要絕望🌈 2018年，注定會是留名歷史的一年。在這一年，同志社群第一次發起公投，要求整個社會正視我們的存在和權利。 每張同意票，都是貨真價實的陪伴與支持。 每張不同意票，也都具體化了這個社會尚待消弭的歧視和惡意。 1986年，祁家威大哥到台北地方法院公證被拒絕，開啟了長達三十多年的抗爭歷程。 1996年，「女權火照夜路大遊行」有300名同志參與，喊出了「婦女要夜行權，同志要日行權」的口號。 2003年，第一屆同志大遊行舉辦，有2000名夥伴公開現身。 2018年的同志大遊行，參加者成長到了將近14萬人。 而這次的公投選戰，我們只用了反同方 1% 的經費和資源，就高標衝過公投連署門檻，並得到了三百多萬群眾的支持。 這一路並不好走，但我們始終有進無退。 反同團體有的是金錢與偏見，而我們有信念、公義和友愛之心。整個歷史大勢會站在我們這一邊，因為我們懷抱不會消散的東西，我們是在逆境也不會放棄彼此的友伴。 這大半年，大家都辛苦了，讓自己好好地休息，允許自己悲傷，但也請明白，我們沒有錯。 我們會繼續現身，持續發聲，並堅持推進平權的理想。我們要監督接下來立法院的立法議程，確保釋憲的成果。我們也會持續關心性別平等教育，讓下一代不必在壓抑之中成長，讓每個人活出真實而自信的生命藍圖。 看到終點的那天，我們每一個人都要在，請不要中途下車。 再次，感謝每個夥伴。 同志社群支持系統，歡迎需要的夥伴點選連結>> https://nofear.equallove.tw/news/release/39
2,非常感謝您，感謝您願意站出來互相陪伴。 ​​   ​​越艱難的時刻，互相陪伴越重要。 ​​   ​​這次公投，並不只是關乎法律如何修改或課本怎麼寫而已，而是關乎大家要怎麼好好生活在一起。 ​​   ​​我們的理想願望是如此，我們自己就該先做到這件事：好好地相互陪伴。 ​​   ​​謝謝338萬挺同婚的夥伴，感謝350萬守護性平教育的朋友。雖然反同公投的票很多，但這三百多萬票，也都是真實的。 ​​   ​​大家不要忽視這樣真實的溫暖。 ​​   ​​身為平權公投召集人，我必須要說對不起，是我們努力不夠，才有今晚的局面。這句話的意思是：請所有支持平權的人，不要覺得是自己的錯。 ​​   ​​我們的努力不夠，所以我們組織比人家弱；我們的努力不夠，所以我們募到的錢比人家少；我們努力不夠，因為我們一心一意要遵守民主制度的規則。 ​​   ​​在努力的過程中，我們堅守清白乾淨。 ​​   ​​一路走到現在，合格連署書的比例，是所有公投最高的。我們的成果不比別人少，但我們的每一步，都比別人走得更乾淨。 ​​   ​​我們的資金運用是所有公投提案中最透明的：除了採群眾募資之外，我們公布每一筆最詳細的支出。讓所有人知道，我們背後沒有任何宗教、境外勢力，試圖干擾台灣內政。 ​​   ​​我們的宣傳過程中，對自己的要求是最高的。我們力求每個資訊是正確的。我們力求這個公投不要撕裂台灣，所以我們不曾抹黑、栽贓對方，不曾說對方沒資格活在台灣，不曾跟對方說你沒沒資格當個公民。 ​​   ​​因為我們希望，公投是個光明正大的民主機制。 ​​   ​​可惜的是，這個信念放在2018.11.24的台灣，好像還有點太天真了。我們的努力不夠，還不夠會做組織，不夠會催票，但這不代表在台灣支持婚姻平權與性別教育的人真的有這麼少。 ​​   ​​所以請各位聽到這段話的朋友相信一件事：這不是你的錯。就跟身為同志不是你的錯一樣。 ​​   ​​今天票開得不夠多，是平權公投小組努力不夠，不是這件事在台灣沒有人支持。 ​​   ​​我想懇請所有友善同志的異性戀朋友，幫忙我們一件事：請各位在今天，至少關心一個同志朋友。 ​​   ​​即便是昨天投下反同選票的朋友，我一樣也希望你們做這件事。因為，你投下的反同選票，已經深深傷害了全台灣的同志。 ​​   ​​我非常了解這種感覺。 ​​   ​​身為一個同志，不但自己知道自己是特別的，甚至知道自己是被社會視為異類的人。而當你越長大，你就越發現，不只是被視為異類，這個世界甚至不承認你做為一個公民。 ​​   ​​我們做了各種努力、盡了各種義務。最後，這個社會還是會給一個答案說：對不起，民法是我們的，與你們無關，對不起我不能讓小學生知道世界上有同志，好像同志是什麼樣的病態。 ​​   ​​一口氣被社會的幾百萬人排擠，會是什麼感覺呢？ ​​   ​​這個夜晚、這個社會傷害這些同志朋友太多了，這些選票的數字太巨大了，巨大到可能會讓人一時看不見那三百多萬友善的選票，巨大到一時之間遮蔽了這個社會所有的善意。 ​​   ​​所以拜託你，你可以傳一封訊息、打一通電話、甚至寫一封信跟你的同志朋友說： ​​   ​​雖然這個社會有很多的惡意，但是我在你身邊，我愛你，我們可以一起走下去。 ​​   ​​拜託三百多萬投下友善選票的朋友，一個人關心三位同志朋友，我們這個社會就可以散佈出九百多萬、將近千萬的友善的、關懷的力量。 ​​   ​​要拜託大家的第二件事情是：一定要持續關心婚姻平權與性平教育。 ​​   ​​公投絕對不會是一個句點，而只是一個逗點。它是台灣民主史上的一次挫折。 ​​   ​​但是台灣人經歷的挫折難道還少了嗎？我們經歷殖民400年，近30年開始才有投票權，在發展過程也不斷遇到保守威權陣營復辟的情況，我們都走過來了。 ​​   ​​公投的結果真的讓人難以承受，但我們還是可以撐過去。 ​​   ​​只要我們都還在一起。 ​​   ​​葉永鋕的媽媽說過，我們手中拿的是到終點站的車票，大家千萬不要中途下車。 ​​   ​​請大家千萬不要忘記，我們在37天內就有50萬份的連署書，那50萬份是真真實實的善意。 ​​   ​​我們在沒有人、沒有錢、沒有組織的情況下，還是開出了300多萬票，這也都是真真實實的善意。 ​​   ​​每10個去投公投的人，就有3位是堅定支持婚姻平權、性平教育的。這在以前根本難以想像。雖然很緩慢，但我們有在前進！我們會為了25萬人的凱道集會而感到充滿力量，那這350萬張友善選票，更是我們繼續向前走的動力。 ​​   ​​會蓋下友善選票的人，都是深思熟慮過，決定要支持同志婚姻、性平教育的。這些人就是最堅定的、支持大家的力量，所以請大家千萬不要放棄。 ​​   ​​就如同性平教育提案人王鼎棫所說的，明天開始，就是法律戰。 ​​   ​​過去在美國的加州，也曾經發生過一個婚姻定義公投：認為婚姻就是一男一女的結合，在加州這個美國自由派的聖地，這個反同公投以過半數的比率通過。 ​​   ​​加州的同婚倡議者並不放棄，開始從一個個案件中，爭取應有的權利，最終美國聯邦最高法院，非常明確肯認：禁止同性婚姻違反平等權。 ​​   ​​所以，公投絕對不是世界末日，雖然這個國家的公投結果嚇了大家一跳，但是我們尊重這個公投的結果，因為我們相信台灣是個法治國家。 ​​   ​​既然是法治國家，這個法律戰，我們就一定可以繼續走下去 ​​   ​​大家不要忘記釋字第748號平等保障婚姻自由。 ​​   ​​未來，假設我們的立法院，真的如此順從反同陣營的期待，那我們就一個一個把專法中，所有牴觸平等權的地方挑出來。 ​​   ​​我們就一個一個非常辛苦地去訴訟，非常辛苦地找上大法官，讓大法官告訴立法院說「對不起，你們立的法錯了！你們錯了！必須要再次修法！」 ​​   ​​當然，如果大法官再一次的把專法打臉，這些護家盟又一定會說：我要公投。我們台灣可能會限在這個無限迴圈當中，但是這是台灣人民現在的選擇，既然台灣人民現在選擇這樣，那我們眼前僅有的選擇就是，繼續在這個法治的國家裡面，繼續為了平等權，為了婚姻自由權而奮鬥，這是我作為一個法律人，期待自己可以做到的事情。 ​​   ​​這不是一個句點，哪一個民主社會沒有犯過錯呢？我們還是有路可以走。 ​​   ​​公投的結果說性別平等教育施行細則裡的同志教育要拿掉。 ​​   ​​但性別平等教育法裡面還是寫的很清楚，我們必須要在學校裡面推動性別平等，我們教育部的官員已經再三地公開強調過了，一旦沒有同志教育，性平教育就是不完整的。 ​​   ​​同志教育跟性平教育是不可分割的。這是教育部官員再三公開表示過的立場。 ​​   ​​未來我們知道很多第一線的老師會遇到很多很多的困難，但各位三百多萬的友善公民，我們還是可以持續地努力，把所有的，在學校裡面受到欺負、霸凌的同志小朋友們接住。 ​​   ​​我們可以提供很多學校圍牆以外的正確的資訊給所有的青少年。 ​​   ​​萌萌們希望他們自己的小孩是無知的，也同時希望別人的小孩也變成無知的，那我們就致力於提供正確的資訊。 ​​   ​​因為台灣是一個民主法治的地方，是一個資訊流通的地方，我們還是可以提供正確的資訊。 ​​   ​​我知道公投的票數開出來讓大家很失望。 ​​   ​​我們當然可以失望，但是我們不可以絕望。為什麼不可以絕望？因為還有三百多萬人相信這個信念，愛著我們。 ​​   ​​我知道今天晚上是一個很讓人灰心的夜晚，我們雖然可以灰心，但請各位千萬不要放棄，不要放棄台灣這塊土地。 ​​   ​​今天我在網路上看到google的搜尋量「移民」突然飆高，但我相信很多人只是搜一搜看一看，做個夢。為什麼？因為大多數的我們根本離不開台灣啊，根本離不開這個地方。 ​​   ​​這是我們成長的家園，是我們想要守護的土地，所以我們當然不能放棄這個我們未來要一起共同生活的地方，我們當然不能夠放棄這三百多萬人。 ​​   ​​今天晚上回家睡一覺，然後明天，拜託用任何一句話，「我在這裡」、「我肯定你，跟我一樣有資格當民主社會的公民，雖然昨天晚上有這麼多人不贊同這件事，但我贊同你」持續地關心你身邊的同志朋友。 ​​   ​​懇請大家，千萬不要放棄，持續地關注婚姻平權跟性平教育。 ​​   ​​我們會長大，我們的敵人會老，他們會死掉。 ​​   ​​如果你提早死掉的話，我們就三百萬-1了。我們不能在對手因為不敵歲月而慢慢退潮的時候，因為提早下車而無法親眼見證台灣成為一個有婚姻平權、性平教育的國度。 ​​   ​​我們怎麼可以錯過這件事情呢？台灣是我們的家，是我們的故鄉，而且有三百多萬人願意支持我們。 ​​   ​​拜託大家，把正面的能量傳遞出去，台灣現在真的很需要正面的能量，需要大家互相支持。 ​​   ​​未來我們要平等地、有愛地生活在一起。 ​​   ​​公投讓我們看到好多惡意，感受到很多我們原本不敢相信的事情，但是沒關係，這是民主的練習，跌倒了之後還是可以繼續走下去。 ​​   ​​拜託大家，千萬不要提早下車，千萬把身邊的同志朋友留在這個車上。 ​​   ​​讓我們一起繼續努力，事情就會改變。
3,即便開票結果還沒出來，但目前的狀況看來似乎不太樂觀。在這裡，想跟各位說聲辛苦了，辛苦每一位夥伴，每一個與我們一同努力過的人，感謝每一個願意挺身而出，勇敢投下兩好三壞的大家。 追求平權之路，一直都是很漫長的。我們已經走了很久很久，也一定會繼續走下去。 不過，至少今晚，讓我們先好好照顧自己，好好照顧自己身邊的人。去關心他，告訴他沒關係，讓他知道你愛他，讓他知道世界並沒有遺棄他。不要讓任何一個人，獨自面對眼下這一切。雖然失落難免，孤獨難免，但我們可以帶著各自那份傷，走在一起。 抱抱身邊的朋友，打個電話、傳個訊息，一起說說話。 如果有眼淚，那也是沒關係的。 堅強是明天的事，今天我們可以一起軟弱。 如果你需要陪伴，可以到： 婚權大平台直播： https://ppt.cc/fU5Pxx 可以一起陪開票的友善店家 https://ppt.cc/f8u8Xx
4,今天投票的時候也發現一些疑似奧步的情形嗎？請大家多多反反映！ 這是【平權前夕】開的表單，還麻煩各位轉傳給親朋好友，讓大家多多回報各地狀況： https://goo.gl/forms/scVrhJT505ESFrYO2 #小編在外沒電腦只能用限時動態做圖啦😢
5,
6,🌈幸福特快車抵達終點站了嗎？ —寫在2018公投之後 當反同團體開始蒐集連署簽名、拖延政府對釋字748號解釋的落實，阻撓同志婚姻平等之保障，並且傷害同志青少年時，他們將同志排除於台灣社會之外，已是血淋淋的事實。 這些日子以來，我們發起了前所未有的全國性倡議和動員，讓台灣民眾得以認識婚姻平權和性平教育。透過電視、數位媒體和廣播廣告、口碑行銷策略以及數百萬次對話，我們讓同志的存在被看見。 同志就是我們自己，是我們的鄰居、家人、朋友和同事。 我們深深地感謝每一個曾經為婚姻平權和性別平等教育發聲的人。對每一個勇敢地挺身而出、說出自己的生命故事、和家人們溝通對話的同志，以及每一個曾經發聲支持你的同志朋友的人，我們想說： 謝謝你。你們過去幾個月的努力，已讓台灣成為一個更美好的地方。 不管結果怎麼樣，我們已經打了美好的一仗。也許對許多人來說這段時間並不容易，但，我們一起改變了台灣：在電視上、報紙上、網路上，我們讓更多人看見並開始討論同志，並知道了有數百萬人願意為美好的未來努力。 這是台灣有史以來第一次，而且社會只會繼續往前走，不會再回頭了。 支持婚姻平權的所有團體們也會和大家一起繼續努力💪🏼
7,"🔥在投票所附近看到萌萌發文宣嗎？ 你可以這樣做🌈 按公投法規定，在「投票所30公尺外」可以宣傳喔！ 如果你有空，歡迎揪團（2人以上一組），到全台友善物資點或友善店家索取文宣（投票小卡） 在投票所附近發現萌萌宣傳，就站在萌萌旁邊「和平理性發小卡」。 只要禮貌地跟民眾說「公投資訊供您參考，記得看完收進口袋，有需要作為提醒的進入圈選處再拿出來～」 　 不要吵架、不要衝突，如果有公務員或警察來驅趕，就要求對方順便驅離萌萌，一起離開。 　 ＊要記得休息與進食喔！ 　 📦 全台物資點和友善店家：https://reurl.cc/R03pZ 　 － 　 ⚠ 注意事項 ⚠ 1. 公投法規定，投票所30公尺內不得宣傳，要記得抓好距離喔！有看到離的太近的萌萌，也可以向選務人員檢舉！ 2. 發小卡給民眾時，請提醒他們看完放進口袋，進投票所不得露出，到圈選處再拿出來使用喔！ 3. 請盡量倆倆結伴，注意人身安全，勿和反方起衝突。 4. 建議是已向家人出櫃的同志、異性戀去發放小卡，若有尚未向家人出櫃的同志朋友，可以到離戶籍地較遠的地方宣傳，請大家衡量自身狀況，千萬不要勉強喔！ 　 － 　 【雙北全日開放物資點】 　 📍 有容古文物藝術 台北市大安區仁愛路三段28-1號 https://goo.gl/maps/Ksa24HKCvRU2 　 開放時間：08:30-16:00 連絡電話：0970-203-728 物資存量：小卡15,000 ↑，各式傳單 　 📍 平權前夕．彩虹起義三重總部 新北市三重區三和路三段16巷1號 https://goo.gl/maps/rZ4bLu7kr772 　 開放時間：08:00-16:00 連絡電話：02-2988-9719 物資存量：小卡70,000 ↑，各式傳單 　 📦 雙北其餘物資點、其他縣市請見：https://reurl.cc/R03pZ -- 我該去哪投票 （網址：https://www.ris.gov.tw/info-electionVotePlaceQuery/app/aw0702VPQ/main） -- 需要從 LINE 傳圖給長輩？（今天可宣傳！） 這邊有素材 👉👉👉 https://goo.gl/E1iVtq 或是 ID 搜尋：@2yes3no  　 -- 📰 要給爸媽的投票小抄 📰 尺寸是 A3 ，一張裡面包含 6 份 🖨 Google 雲端 ☁ ➡ https://tinyurl.com/y9c3xydl 🖨 全家雲端列印代碼 ☁ ➡ 8096647038 🖨 7-11雲端列印代碼 ☁ ➡ 8101141103 　 🎞 一分鐘看懂1124兩好三壞怎麼投： https://reurl.cc/WXqly 💡 更多公投Q&A請見懶人包大彙整： https://reurl.cc/353vM"
8,"【平權公投，最終指南】 準備出門投票了嗎？請確保下面都帶到了： 1. 身分證（最重要，一定要帶，沒帶不行！） 2. 印章（如果沒有，可以簽名或蓋手印） 3. 投票通知（如果沒有也沒關係） ＊可以帶小抄，但投票時才能拿出來，而且要記得帶走 　 投票時間： 早上 8 點到下午 4 點，逾時不候！ 　 投票順序： 選舉人票 ➡️ 公投票 一定要全部都投完，才能出投票站。否則，一但離開，就不能進去囉！ 　 大家加油，謝謝大家，請一定要去投票！ 　 投票當天仍可宣傳公投， 仍可以把握機會請身邊親友一定要支持 2 好 3 壞： 　 14 15 投同意  　 10 11 12 不同意 -- 「公投當日還可以在投票所30公尺外宣傳喔，快來找我們拿投票小卡！」 【雙北全日開放物資點】 　 📍 有容古文物藝術 台北市大安區仁愛路三段28-1號 https://goo.gl/maps/Ksa24HKCvRU2 　 開放時間：08:30-16:00 連絡電話：0970-203-728 物資存量：小卡15,000 ↑，各式傳單 　 📍 平權前夕．彩虹起義三重總部 新北市三重區三和路三段16巷1號 https://goo.gl/maps/rZ4bLu7kr772 　 開放時間：08:00-16:00 連絡電話：02-2988-9719 物資存量：小卡70,000 ↑，各式傳單 　 📦 雙北其餘物資點、其他縣市請見：https://reurl.cc/R03pZ -- 我該去哪投票 （網址：https://www.ris.gov.tw/info-electionVotePlaceQuery/app/aw0702VPQ/main） -- 需要從 LINE 傳圖給長輩？（今天可宣傳！） 這邊有素材 👉👉👉 https://goo.gl/E1iVtq 或是 ID 搜尋：@2yes3no  　 -- 📰 要給爸媽的投票小抄 📰 尺寸是 A3 ，一張裡面包含 6 份 🖨 Google 雲端 ☁ ➡ https://tinyurl.com/y9c3xydl 🖨 全家雲端列印代碼 ☁ ➡ 8096647038 🖨 7-11雲端列印代碼 ☁ ➡ 8101141103"
9,本屆入圍金馬八項提名，並拿下三項大獎的電影《 誰先愛上他的 》，在劇中溫柔地碰觸同志議題，也於公投前夕推出暖心宣傳片，電影粉絲團在今天釋出結尾沒出現的一段彩蛋—— 　 “ 　 她捧著那束花，在劇場外面流連多時。 流連了多久，就流了多久的淚。 要進去嗎？進去表示原諒嗎？ 可為什麼要原諒？我兒子做錯了什麼嗎？ 她怎麼也想不透，淚流個不停，起身要走，這時， 一個觀眾氣呼呼的走了出來，氣呼呼的罵著：「爛戲！」。 她目送著那個觀眾離去，終於做下了決定： 「#越是有人遠離了我兒子，#我越是要擁抱他，#因為我是他的媽媽！」 　 “ 　 苗博雅 MiaoPoya 簡維萱 Riemah Huang
10,"平權計畫通！你收到選舉公報了嗎？ 家裡的選舉公報擺著也是擺著，幫家人朋友畫重點吧！ 　 分解兩好三壞： 　 14 15 🙆‍♂️ 　 10 11 12 🙅 ——— 平權公投，重要資訊 ——— 　 馬上加入官方 LINE 👉👉👉 https://goo.gl/E1iVtq 或是 ID 搜尋：@2yes3no  　 -- 📰 要給爸媽的投票小抄 📰 ✅ 親取： 📦 全台物資點、友善店家：https://reurl.cc/R03pZ 📦 街頭發送場次查詢：https://reurl.cc/gm46R 　 　 ✅ 自己印： 尺寸是 A3 ，一張裡面包含 6 份 🖨 Google 雲端 ☁ ➡ https://tinyurl.com/y9c3xydl 🖨 全家雲端列印代碼 ☁ ➡ 8096647038 🖨 7-11雲端列印代碼 ☁ ➡ 8101141103 -- 　 11/24 回家投票，平權路上， #兩好三壞 票號 14, 15 同意 10, 11, 12 不同意 #就差一步 #讓愛沒有局外人"
